site,Temp,Oxygen,pH,FC,TPN,TP_P,Nutrient,Turb,SUSSOL,Sediment,AnnualWQI,WY_Range
Black River @ 128th Ave. SW (45b),72.16266355599998,35.088964468,65.06424540800009,78.56112859533447,100,88.18881934121939,96.41567485900028,98.89703367586776,NA,98.89703367586776,59.47632959778238,2021-2025
Deschutes River @ Waldrick Rd. (11a),66.9424846604775,92.33772736300006,86.80015267775002,80.96725338291093,100,72.08947993534554,74.83096504721517,85.28996813889373,NA,85.28996813889373,79.78784485377675,2021-2025
EH-BLABE0700,80.0592179305512,88.80242121825,74.27013388200004,71.60635394607547,100,80.87946389559355,86.0108213375588,89.78417737389341,NA,89.78417737389341,83.44330273272071,2021-2025
EH-BLABL0010,66.2805639685204,75.57024829106251,77.25572596800004,82.2701108590789,100,81.64045380010357,83.30841555851616,96.40993475059273,NA,96.40993475059273,82.23951170734738,2021-2025
EH-BLABM0910,85.31904206421,80.38031297425,67.69710523200007,61.01335225683384,100,73.33358622056866,100,90.08035143743308,NA,90.08035143743308,74.14013097667241,2021-2025
EH-BUDBD0000,57.13096399804785,68.16600390625001,84.12121908977792,77.12229779609841,100,88.08514163459388,94.42559476067943,97.20182954979788,NA,97.20182954979788,69.44597834857686,2021-2025
EH-BUDIN0010,88.09097717655999,89.84660411033333,90.56018124799999,60.93746244407527,100,67.67533219176883,71.51159231970024,84.7319231889744,NA,84.7319231889744,71.38116440547209,2021-2025
EH-BUDMO0000,89.65904213549,74.15320151875004,95.19078316800017,54.04364100032947,100,40.86156341634775,100,73.69741723611301,NA,73.69741723611301,61.77024040987672,2021-2025
EH-BUDMO0030,95.88325667481,84.919561268,95.02510680000017,69.52366406291947,100,64.15085132843899,100,68.5047666496133,NA,68.5047666496133,75.24114735909863,2022-2025
EH-BUDPE0000,64.40999259770277,87.24942017699999,91.29465720000013,66.40064287666324,100,81.81042658768517,93.68596276595224,91.74323904527316,NA,91.74323904527316,77.67456218863526,2021-2022
EH-CHECH0010,63.26938558149816,87.3209077,8.710429909403047,68.65906092518665,100,76.60372330238826,72.681493053668,79.64207021313304,NA,79.64207021313304,56.56635515688908,2021-2025
EH-CHEPR0510,93.75547453336,82.710767057,71.11467080000006,65.9131998411045,100,68.05711091927594,86.5123489908174,82.97914686749645,NA,82.97914686749645,75.62103146779187,2021-2025
EH-CHESC0130,68.75020962461,37.97721178675004,80.29230372800009,71.40852799706829,100,82.07193535430878,77.71092156674979,98.96161226687965,NA,98.96161226687965,53.45776385727663,2021-2025
EH-DESCH0300,84.23953615602656,75.69805563200002,85.08539924444449,68.2180983143933,95.84149028456471,80.30845641796968,79.85541651520082,89.13852281609009,NA,89.13852281609009,74.45628897634315,2021-2025
EH-DESDE0000,75.97499765911019,93.39197895833334,91.08728860800005,84.1529220348621,100,71.77266720376839,71.4387513656919,84.06678227644309,NA,84.06678227644309,79.54807825835091,2021-2025
EH-DESDE0045,74.96521572295998,86.68727062675005,88.90440876800017,80.09216645635307,100,74.54250758065791,81.98446495731103,89.51835836469661,NA,89.51835836469661,86.76691253452796,2021-2025
EH-DESDE0090,85.61725908599999,87.64901101075003,91.03513625,88.93992540913531,100,86.3356306686635,89.70653363425801,95.94536578083647,NA,95.94536578083645,95.0032394977823,2021-2025
EH-DESRE1100,79.34906235932488,11.31180083333335,39.631241042000056,65.1676587129384,99.01467011393333,68.17598872127354,66.66722498921644,85.77654911298798,NA,85.77654911298798,37.43676742401877,2021-2025
EH-Dobbs_mainstem_RM_0.71,85.6077217296975,81.68910506800002,84.52766884031996,44.94193653826621,100,54.649171713144526,82.20323683898933,72.46601283952411,NA,72.46601283952413,59.956153409369705,2021-2025
EH-ELDGC0000,87.24343561007109,89.63621369699999,85.25783700800008,65.78846233154258,98.665771856,76.66086826195081,84.09197810298828,92.1235214416524,NA,92.1235214416524,82.49798107221713,2021-2024
EH-ELDPE0000,83.088543404,71.79791105200005,87.01516012800005,75.6661971022774,100,72.48774078877392,82.86214686085053,90.29480817518491,NA,90.29480817518491,79.1205632304594,2021-2021
EH-Fleming_mainstem_RM_0.39,88.08802600695111,76.75517920000004,78.49418120000013,54.3461849496075,100,53.86552299759053,100,68.0390795116587,NA,68.0390795116587,62.94590178633366,2021-2025
EH-HENWL0030,89.06207765739751,61.84330184752004,88.35097568767998,77.74426520787279,54.038176488991674,64.26836326763409,60.65046193222036,95.01000452870369,NA,95.01000452870369,53.482496804056744,2021-2025
EH-HENWO0000,79.8130285219584,71.52634274092006,88.81296405888014,69.89507780159235,100,64.88240928011997,81.02507539311024,92.25460111732556,NA,92.25460111732556,76.65929397245768,2021-2025
EH-NISTH0000,95.2443317269775,90.70506186700001,89.85639112199999,94.06194495931052,16.08245076515408,90.59880665384911,90.34490138183048,96.25713169211535,NA,96.25713169211535,94.59885696445795,2021-2025
EH-SKOSK0000,71.97041510677164,81.07492480000003,87.73851844800015,69.55307563651729,100,77.50204212167924,74.5874160792139,82.65480234662238,NA,82.65480234662238,77.39981038527078,2021-2025
EH-TOTKE0000,82.79675328575999,77.49491841868006,85.12859140800015,80.59172494637346,99.57461947333334,78.7270024889898,72.401321366828,90.18236586684297,NA,90.18236586684297,79.03482629048244,2021-2025
EH-TOTSC0000,82.11157860257751,68.99676507418754,80.21880892200005,73.08375421225384,100,75.56879380857,100,89.33082995996594,NA,89.33082995996594,77.33944421463552,2021-2025
EH-TOTSC0040,78.01506716574457,21.187706945333353,71.77668263807999,50.69711069223904,100,89.5420565499623,100,81.30760689638953,NA,81.30760689638953,31.252946818195507,2021-2025
Eaton Creek @ Yelm Hwy (10a),87.65225405215111,87.04042151875001,86.64678043200001,63.03576765858381,100,72.75308854041901,75.29922404937471,92.11961640002487,NA,92.11961640002487,76.94307562864316,2021-2025
GAGE0035,89.10812074328999,81.17790016300003,93.80978259200003,91.6133854618778,27.01901445482115,85.55298042630176,79.45434615162382,91.81340218078365,NA,91.81340218078365,88.79917887893069,2021-2022
GAGE0039,89.35309650989001,82.59385187500004,91.60198756800003,71.3916489621605,75.51484162702332,67.16648929494824,63.698080256858056,94.38383495574372,NA,94.38383495574372,65.38407615260097,2021-2025
McLane Creek @ Delphi Road NW bridge (24a),86.55927896736,56.14822773200001,78.69750209244455,64.88714713031888,100,65.7317468983802,75.00120495008203,83.02556462557875,NA,83.02556462557875,61.80361287734265,2021-2025
Salmon Creek @ Littlerock Rd. (52a),83.98222648620998,49.87373568425,64.48740459200002,65.34637977671152,100,85.3335285114335,100,84.62960403711408,NA,84.62960403711408,55.53215364649586,2021-2025
Scatter Creek @ James Rd. (55a),78.9627477,80.137130803,86.92704937500014,75.84651460563128,99.29574007407408,82.76917267194946,84.5333118141586,99.34438422439611,NA,99.34438422439611,76.91840709373163,2021-2025
Spurgeon Creek @ Rich Road bridge (14a),71.75338777655782,85.644211572,87.25826491200002,81.68730938387603,100,86.82716424148288,86.25663606899211,96.26361033349943,NA,96.26361033349943,85.1886701321624,2021-2025
